2015-03-13 10:38:56,191 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Buzzpoints:Fisoc:0.0.1-SNAPSHOT @ D:\SourceControl\automation-suite-WD\Fisoc\pom.xml.
2015-03-13 10:38:58,470 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Fisoc/src/main/java
2015-03-13 10:38:58,470 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Fisoc/src/main/resources
2015-03-13 10:38:58,473 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Fisoc/src/test/java
2015-03-13 10:38:58,473 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Fisoc/src/test/resources
2015-03-13 10:38:58,697 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Buzzpoints:Fisoc:0.0.1-SNAPSHOT @ D:\SourceControl\automation-suite-WD\Fisoc\pom.xml.
2015-03-13 10:38:59,158 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2015-03-13 10:39:02,302 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Buzzpoints:Fisoc:0.0.1-SNAPSHOT @ D:\SourceControl\automation-suite-WD\Fisoc\pom.xml.
2015-03-13 10:39:03,651 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:39:03,655 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:39:03,657 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:39:03,661 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:39:05,084 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Buzzpoints:Fisoc:0.0.1-SNAPSHOT @ D:\SourceControl\automation-suite-WD\Fisoc\pom.xml.
2015-03-13 10:39:07,016 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:39:07,018 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:39:07,020 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:39:07,021 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:40:39,402 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Buzzpoints:Fisoc:0.0.1-SNAPSHOT @ D:\SourceControl\automation-suite-WD\Fisoc\pom.xml.
2015-03-13 10:40:40,208 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Fisoc/src/main/java
2015-03-13 10:40:40,208 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Fisoc/src/main/resources
2015-03-13 10:40:40,209 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Fisoc/src/test/java
2015-03-13 10:40:40,210 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Fisoc/src/test/resources
2015-03-13 10:40:40,408 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 1 sec
2015-03-13 10:40:41,426 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Buzzpoints:Fisoc:0.0.1-SNAPSHOT @ D:\SourceControl\automation-suite-WD\Fisoc\pom.xml.
2015-03-13 10:40:42,779 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:40:42,780 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:40:42,781 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:40:42,783 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:40:45,143 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:40:45,143 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:40:45,145 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:40:45,145 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:15,425 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:15,426 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:15,428 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:15,438 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:18,304 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:18,305 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:18,308 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:18,313 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:21,844 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:21,845 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:21,848 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:21,851 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:23,337 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:23,338 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:23,342 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:23,345 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:24,833 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:24,834 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:24,835 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:24,838 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:26,221 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:26,222 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:26,223 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:26,226 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:27,656 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:27,663 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:27,665 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:27,668 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:29,067 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:29,068 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:29,069 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:29,073 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:30,466 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:30,467 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:30,469 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:30,472 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:31,802 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:31,803 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:31,804 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:31,807 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:33,172 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:33,173 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:33,175 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:33,179 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:34,605 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:34,606 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:34,611 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:34,614 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:35,755 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:35,756 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:35,758 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:35,761 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:39,271 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:39,272 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:39,273 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:39,276 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:41:40,827 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:40,828 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:41:40,829 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:41:40,830 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
